Precipitation_mm_hr,Stream_Discharge_mm_hr,Evapotranspiration_mm_hr,Soil_mm,Snow_mm,Air_Temperature_celsius,streamflow_cfs,Air_Pressure,Relative_Humidity,Wind_Speed,Wind_Direction,Solar_Radiation
0,2,0,93,53,43,2,86,65,6,51,0
5,2,0,93,54,39,2,88,115,7,56,0
8,2,0,93,55,38,2,86,119,0,37,0
0,2,0,93,55,39,2,84,120,3,51,0
2,2,0,93,56,40,2,83,121,1,61,0
8,2,0,92,57,40,2,83,121,0,70,0
13,2,0,92,58,40,2,83,123,0,100,0
13,1,0,93,61,41,1,82,123,0,49,0
13,1,0,93,63,41,1,81,123,7,75,2
10,2,0,93,65,42,2,80,121,3,75,5
10,2,0,92,67,43,2,78,119,4,56,6
11,2,1,93,68,44,2,76,120,4,58,8
11,2,0,93,70,46,2,74,122,2,65,7
8,2,0,93,72,47,2,71,116,2,37,7
4,2,0,93,73,47,2,68,118,3,44,5
0,2,0,92,75,48,2,66,119,13,68,4
0,2,0,93,75,47,2,64,123,21,70,2
0,2,0,93,77,47,2,61,124,27,72,1
0,2,0,93,79,47,2,60,127,40,23,0
0,2,0,93,82,46,2,57,126,71,16,0
0,2,0,92,84,45,2,56,124,58,59,0
0,2,0,93,85,44,2,55,116,54,65,0
0,2,0,93,85,44,2,56,118,68,63,0
0,2,0,92,85,41,2,56,118,78,62,0
0,2,0,92,85,39,2,58,117,80,64,0
1,2,0,93,85,37,2,59,116,58,66,0
2,2,0,92,85,36,2,61,115,68,63,0
2,2,0,92,85,35,2,65,112,63,61,0
2,2,0,92,86,33,2,67,109,49,62,0
3,2,0,92,86,33,2,71,108,45,65,0
3,2,0,92,86,32,2,74,105,37,65,0
5,2,0,92,86,32,2,76,97,46,61,10
7,2,2,92,86,35,2,78,84,54,67,29
127,2,7,92,86,41,2,81,61,56,62,70
0,2,11,92,86,46,2,83,48,55,62,87
0,2,13,92,86,48,2,84,37,43,64,98
0,2,15,93,87,52,2,85,33,51,60,101
0,2,15,92,87,54,2,85,32,57,63,97
0,2,13,92,87,54,2,86,28,45,62,85
0,2,5,92,87,54,2,87,38,46,69,33
0,2,1,92,88,54,2,88,40,38,69,8
0,2,0,92,88,52,2,89,46,13,63,3
0,2,0,92,88,51,2,92,61,14,52,0
0,2,0,92,88,46,2,94,84,21,24,0
0,1,0,93,88,44,1,97,84,22,31,0
0,1,0,92,88,44,1,98,85,21,35,0
0,1,0,92,88,41,1,99,87,23,58,0
0,1,0,92,88,42,1,98,82,23,24,0
0,1,0,92,88,40,1,99,88,25,8,0
0,1,0,92,89,40,1,100,89,25,17,0
0,1,0,92,89,39,1,101,87,27,9,0
0,1,0,92,89,38,1,102,85,22,8,0
0,1,0,92,89,37,1,103,89,22,27,0
0,1,0,92,89,37,1,103,89,18,18,0
0,1,0,92,89,38,1,105,83,24,39,1
0,1,1,92,90,39,1,105,89,10,33,11
0,1,3,92,90,46,1,106,50,15,56,27
0,1,9,92,90,50,1,105,37,26,69,63
0,1,11,92,90,54,1,105,30,29,63,71
0,1,15,92,90,58,1,105,32,43,68,88
0,1,17,92,90,59,1,104,23,43,72,97
0,1,18,92,90,60,1,103,25,48,73,95
0,1,16,92,90,61,1,102,22,41,72,82
0,2,6,92,90,61,2,101,27,40,81,32
0,2,3,92,90,62,2,100,31,30,83,16
0,2,2,91,90,61,2,100,30,18,89,9
0,2,0,91,90,59,2,100,44,11,85,1
0,2,0,91,91,55,2,100,39,22,26,0
0,2,0,92,91,52,2,100,63,27,10,0
0,2,0,91,90,50,2,100,74,30,8,0
0,2,0,93,90,49,2,99,79,31,8,0
0,2,0,92,89,49,2,97,76,27,17,0
0,2,0,92,89,48,2,96,72,24,27,0
0,2,0,92,89,47,2,94,74,28,9,0
0,2,0,92,89,46,2,94,73,29,8,0
0,1,0,91,89,46,1,92,75,27,9,0
0,1,0,92,89,48,1,92,67,25,19,0
0,1,0,91,88,49,1,92,74,15,49,0
0,1,0,91,88,50,1,92,68,11,56,0
0,1,1,91,88,53,1,92,73,6,49,8
0,1,6,92,89,59,1,90,26,19,63,36
0,1,11,91,89,64,1,89,34,19,58,54
0,1,16,91,89,67,1,89,38,23,65,72
0,1,7,91,89,67,1,88,55,20,63,31
0,1,8,91,88,66,1,86,67,20,69,37
0,2,6,91,87,67,2,84,81,15,51,26
0,2,4,92,86,64,2,85,113,11,62,19
0,2,1,91,86,62,2,85,121,9,63,8
0,2,2,91,86,61,2,84,124,4,50,11
0,2,0,91,86,59,2,84,127,5,64,2
0,2,0,91,85,58,2,83,127,4,53,0
0,2,0,91,85,57,2,82,127,14,17,0
0,2,0,91,86,57,2,81,127,14,21,0
0,2,0,91,86,57,2,81,127,16,7,0
0,2,0,91,86,57,2,81,127,15,31,0
0,2,0,91,86,57,2,80,127,13,20,0
0,2,0,91,86,57,2,78,127,11,8,0
0,2,0,91,86,58,2,77,127,12,45,0
0,2,0,91,85,58,2,77,127,9,39,0
0,2,0,92,85,56,2,74,127,20,26,0
0,2,0,91,84,57,2,76,127,5,53,0
0,2,0,91,84,57,2,76,127,4,25,0
0,2,0,91,84,56,2,77,127,4,70,0
0,2,1,91,84,57,2,78,127,8,61,6
0,2,4,91,84,59,2,78,127,8,66,26
0,2,3,91,84,61,2,77,122,9,70,16
0,2,1,91,84,60,2,77,127,13,8,8
0,2,1,91,84,61,2,77,126,4,51,9
1,2,1,91,84,61,2,77,127,12,32,8
3,2,2,91,84,63,2,76,127,19,39,11
0,2,2,91,84,62,2,74,127,19,35,14
0,3,3,91,83,65,3,73,127,18,39,15
5,3,0,91,83,62,3,74,127,20,32,4
3,4,0,91,83,62,4,77,127,27,38,3
4,5,0,91,83,61,5,77,127,34,10,0
2,6,0,91,83,62,6,76,127,36,12,0
0,7,0,91,82,62,7,75,127,38,8,0
0,8,0,91,82,62,8,74,127,39,8,0
0,8,0,91,82,63,8,74,127,28,21,0
2,8,0,91,82,63,8,74,127,31,8,0
0,8,0,91,82,61,8,73,127,32,8,0
0,8,0,92,82,62,8,72,127,38,8,0
0,9,0,92,80,62,9,72,127,33,10,0
3,9,0,92,80,64,9,70,127,39,12,0
3,10,0,92,80,62,10,69,127,29,7,0
9,12,0,93,81,63,12,70,127,27,26,0
5,17,0,93,80,61,17,70,127,28,21,0
1,19,0,93,80,61,19,68,127,35,11,1
2,20,0,93,80,63,20,70,127,21,30,4
0,20,3,94,79,64,20,67,127,25,33,14
0,21,3,94,79,63,21,68,127,27,27,15
0,21,5,95,78,65,21,65,121,25,38,24
0,20,3,95,78,65,20,64,122,24,31,15
0,20,2,96,77,66,20,64,120,14,56,13
0,19,3,96,77,65,19,64,120,30,27,15
0,18,6,96,76,66,18,61,115,29,22,31
0,18,2,96,76,63,18,60,119,27,22,11
0,17,0,97,76,62,17,62,123,18,37,4
0,17,0,97,76,62,17,61,126,18,58,0
0,16,0,96,76,60,16,59,126,19,46,0
1,16,0,97,76,60,16,60,127,13,41,0
2,16,0,97,76,59,16,60,127,41,22,0
0,16,0,97,76,60,16,58,126,59,21,0
0,16,0,97,76,61,16,57,121,67,21,0
0,16,0,97,76,59,16,57,119,60,37,0
0,15,0,97,76,59,15,55,99,46,65,0
0,15,0,97,76,58,15,54,109,45,47,0
0,14,0,97,76,58,14,50,103,44,73,0
0,13,0,97,76,57,13,50,98,47,66,0
0,13,0,97,76,57,13,49,98,44,67,0
0,12,0,97,76,56,12,48,101,64,61,1
0,11,1,97,76,56,11,49,98,71,70,5
