Relative_Humidity,Precipitation_mm_hr,streamflow_cfs,Soil_mm,Evapotranspiration_mm_hr
65,0,2,93,0
115,5,2,93,0
119,8,2,93,0
120,0,2,93,0
121,2,2,93,0
121,8,2,92,0
123,13,2,92,0
123,13,1,93,0
123,13,1,93,0
121,10,2,93,0
119,10,2,92,0
120,11,2,93,1
122,11,2,93,0
116,8,2,93,0
118,4,2,93,0
119,0,2,92,0
123,0,2,93,0
124,0,2,93,0
127,0,2,93,0
126,0,2,93,0
124,0,2,92,0
116,0,2,93,0
118,0,2,93,0
118,0,2,92,0
117,0,2,92,0
116,1,2,93,0
115,2,2,92,0
112,2,2,92,0
109,2,2,92,0
108,3,2,92,0
105,3,2,92,0
97,5,2,92,0
84,7,2,92,2
61,127,2,92,7
48,0,2,92,11
37,0,2,92,13
33,0,2,93,15
32,0,2,92,15
28,0,2,92,13
38,0,2,92,5
40,0,2,92,1
46,0,2,92,0
61,0,2,92,0
84,0,2,92,0
84,0,1,93,0
85,0,1,92,0
87,0,1,92,0
82,0,1,92,0
88,0,1,92,0
89,0,1,92,0
87,0,1,92,0
85,0,1,92,0
89,0,1,92,0
89,0,1,92,0
83,0,1,92,0
89,0,1,92,1
50,0,1,92,3
37,0,1,92,9
30,0,1,92,11
32,0,1,92,15
23,0,1,92,17
25,0,1,92,18
22,0,1,92,16
27,0,2,92,6
31,0,2,92,3
30,0,2,91,2
44,0,2,91,0
39,0,2,91,0
63,0,2,92,0
74,0,2,91,0
79,0,2,93,0
76,0,2,92,0
72,0,2,92,0
74,0,2,92,0
73,0,2,92,0
75,0,1,91,0
67,0,1,92,0
74,0,1,91,0
68,0,1,91,0
73,0,1,91,1
26,0,1,92,6
34,0,1,91,11
38,0,1,91,16
55,0,1,91,7
67,0,1,91,8
81,0,2,91,6
113,0,2,92,4
121,0,2,91,1
124,0,2,91,2
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,92,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,0
127,0,2,91,1
127,0,2,91,4
122,0,2,91,3
127,0,2,91,1
126,0,2,91,1
127,1,2,91,1
127,3,2,91,2
127,0,2,91,2
127,0,3,91,3
127,5,3,91,0
127,3,4,91,0
127,4,5,91,0
127,2,6,91,0
127,0,7,91,0
127,0,8,91,0
127,0,8,91,0
