Wind_Speed,Wind_Direction,Air_Pressure
0.17475,147.65,102.2337
0.222,161.805,102.296
0.00375,110.45,102.2216
0.099,148.1975,102.1246
0.044,175.62,102.0456
0.007,199.125,102.0389
0.0255,283.475,102.0456
0.01575,144.11,101.9915
0.2195,214.175,101.9645
0.086,213.725,101.8982
0.1225,161.525,101.8226
0.1225,166.6,101.6918
0.08,186.35,101.593
0.075,110.2025,101.4578
0.1015,129.3225,101.3023
0.38475,194.05,101.1603
0.5935,199.475,101.0521
0.764,205.625,100.9236
1.1325,71.36,100.8628
2.00825,52.15,100.7208
1.6215,169.175,100.6464
1.52925,188.05,100.6194
1.92325,181.7,100.66
2.20175,178.5,100.6531
2.252,184.85,100.7539
1.6335,190.5,100.8092
1.903,180.55,100.9413
1.77875,176.95,101.105
1.3735,178.175,101.2306
1.2815,186.25,101.4152
1.0535,187.6,101.5996
1.29625,176.2,101.687
1.50725,191.225,101.8132
1.57825,179.4,101.9423
1.559,177.4,102.0679
1.225,183.925,102.1144
1.43825,174.15,102.1619
1.59825,182.25,102.1754
1.25725,178.675,102.2024
1.2945,197.85,102.2429
1.082,196.425,102.2963
0.3885,180.375,102.3825
0.40525,152.3,102.5058
0.60725,75.9925,102.6478
0.63475,93.32,102.7627
0.60375,104.0925,102.8439
0.64225,168.7575,102.864
0.64825,76.0375,102.8535
0.70975,31.4225,102.9048
0.71025,54.7525,102.9451
0.76325,35.2225,102.9806
0.6255,31.6475,103.047
0.63875,81.965,103.0944
0.5105,59.6475,103.1147
0.67725,115.4275,103.1914
0.289,98.2425,103.2042
0.43725,161.45,103.23
0.73425,196.6,103.2126
0.81525,181.05,103.204
1.21325,195.975,103.1747
1.20025,205.175,103.1477
1.3605,207.475,103.0799
1.167,205.85,103.04
1.14075,230.075,102.9739
0.85575,236.15,102.9248
0.528,251.275,102.9183
0.318,240.05,102.9249
0.62625,80.6625,102.9249
0.75575,35.84,102.9454
0.8485,30.1575,102.9318
0.86975,32.1575,102.9079
0.7565,54.915,102.7965
0.69325,83.45,102.7154
0.785,32.84,102.6409
0.83,30.2325,102.6198
0.7755,34.03,102.5394
0.71375,60.9575,102.4999
0.43475,143.4075,102.5044
0.32375,161.8075,102.5268
0.17625,142.375,102.5329
0.535,180.075,102.4298
0.538,167.075,102.3916
0.646,187.75,102.3848
0.58125,182.375,102.3309
0.57325,198.55,102.2286
0.4435,149.0,102.1342
0.30975,177.725,102.1484
0.2705,181.125,102.1349
0.127,146.2,102.1233
0.164,182.775,102.1144
0.13525,154.0,102.0803
0.398,56.5675,102.0148
0.4035,65.865,101.9788
0.46025,30.01,101.9575
0.43625,93.1625,101.9652
0.382,64.1425,101.9111
0.333,31.0825,101.8232
0.3625,131.46,101.7692
0.27575,114.775,101.7557
0.56225,79.1925,101.6137
0.153,154.205,101.7083
0.12575,77.995,101.7151
0.126,199.82225,101.7286
0.2375,175.96,101.7894
0.23875,189.775,101.8026
0.2585,199.8,101.7568
0.37125,31.61,101.7429
0.13425,149.4225,101.7699
0.35625,97.285,101.7294
0.553,114.76,101.6822
0.5555,105.105,101.5856
0.51375,115.215,101.5554
0.5735,96.0575,101.5673
0.7695,112.4775,101.7518
0.96,35.91,101.729
1.01725,41.5475,101.6841
1.068,31.5975,101.6255
1.10475,32.09,101.5858
0.80125,65.895,101.591
0.8665,31.565,101.5841
0.919,32.2375,101.5456
1.0665,31.945,101.485
0.94225,38.185,101.4792
1.104,41.8275,101.4065
0.83125,29.9475,101.3572
0.7675,81.14,101.3883
0.79325,65.8825,101.3718
0.99075,39.7825,101.2794
0.5865,91.065,101.3766
0.70275,98.875,101.2475
0.7545,82.475,101.2913
0.7005,112.875,101.1215
0.6785,93.5275,101.0816
0.416,161.175,101.0747
0.84825,83.69,101.0539
0.80925,70.53,100.9062
0.76525,68.325,100.8655
0.52975,109.33,100.9706
0.5105,167.1,100.9053
0.54425,136.31,100.8236
0.37525,120.885,100.8776
1.16625,69.675,100.8646
1.67325,66.1925,100.7455
1.87175,66.88,100.7358
1.67875,111.375,100.7159
1.28825,186.4,100.6253
1.27925,138.7,100.5576
1.2415,208.75,100.3692
1.314,189.075,100.3681
1.238,192.35,100.2816
1.796,174.875,100.247
1.9905,201.275,100.2749
1.88,181.625,100.1638
1.77175,184.05,100.0939
1.79625,197.0,100.0668
2.061,181.8,99.90471
2.16175,191.0,99.87128
2.506,183.975,99.73785
2.27075,191.45,99.69216
2.5755,204.525,99.66465
2.648,203.525,99.64977
2.148,202.925,99.67757
2.356,190.875,99.68951
2.144,188.95,99.756
1.8195,194.9,99.79864
2.5835,192.425,99.84232
2.6625,206.575,99.82932
2.8375,216.975,99.86312
2.6475,217.675,99.83608
2.609,207.55,99.8496
1.5855,210.225,99.8496
1.45975,200.875,99.83376
1.91625,191.1,99.82883
1.6785,188.325,99.88291
1.31025,173.625,99.93699
1.293,151.525,99.99235
1.2385,197.325,99.99188
1.0435,168.9,100.0555
1.067,123.925,100.1092
1.04925,155.1,100.097
1.4865,208.65,100.0956
1.3085,173.4,100.0962
1.26475,159.225,100.0307
0.964,182.55,99.98479
0.77325,174.725,99.96946
0.9165,173.9,100.0082
0.68175,130.65,100.1039
1.11525,165.325,100.1396
0.9775,178.85,100.2416
0.64125,183.45,100.2935
0.434,168.025,100.3156
0.58125,172.275,100.3211
0.57525,184.55,100.3287
0.47175,185.25,100.317
0.6285,202.0,100.2872
0.92325,193.3,100.3283
0.9575,183.375,100.3899
0.902,190.775,100.4629
0.5995,200.6,100.5319
0.623,200.45,100.5927
0.97875,198.325,100.6607
1.116,188.575,100.6537
1.13275,176.375,100.6971
1.349,195.15,100.7033
1.32525,181.4,100.7164
1.376,169.8,100.7409
1.32775,158.525,100.7588
1.2005,156.05,100.7318
1.0465,153.1,100.7873
0.76825,150.45,100.8111
0.73175,81.475,100.8719
0.95675,28.3925,100.9446
1.099,35.0925,101.0296
1.08675,141.855,101.0662
0.996,201.85,101.1465
0.862,142.4925,101.1986
0.8805,54.62,101.2279
1.0075,27.23,101.255
0.6955,28.255,101.3288
0.77325,28.6425,101.3288
0.5475,36.5275,101.3491
0.765,30.5225,101.3626
0.47925,107.945,101.4167
0.17925,144.25,101.4852
0.5265,234.9,101.424
0.797,199.65,101.4131
1.17175,220.9,101.3605
1.30475,238.9,101.3119
1.3645,214.5,101.2109
1.167,211.95,101.1097
1.06575,212.8,101.0428
0.858,188.4,100.9349
0.811,161.825,100.9317
0.4435,111.1375,100.968
1.00875,34.795,101.0011
0.898,141.4875,101.0545
0.98475,200.725,101.2455
0.43625,189.7,101.3106
0.64975,197.475,101.3173
0.6755,154.6225,101.3031
0.356,189.125,101.3574
0.6665,88.4825,101.3544
0.891,44.915,101.3835
0.6015,72.4125,101.4041
0.616,45.4525,101.4242
0.36175,64.6125,101.5119
0.40475,78.62,101.5265
0.45925,170.475,101.5457
0.7905,187.15,101.5697
0.86025,196.4,101.6221
1.0585,175.225,101.6104
0.934,189.975,101.5086
1.2855,220.225,101.4338
1.31375,215.725,101.3428
1.2005,208.925,101.2728
1.14275,236.675,101.2253
1.10975,244.35,101.2148
1.01375,230.625,101.1482
0.8435,246.475,101.2711
0.4735,271.225,101.2841
0.426,260.725,101.3062
0.398,252.9,101.3714
0.35825,249.65,101.3678
0.3775,159.85,101.364
0.3605,132.7525,101.3236
0.35325,101.0475,101.3177
0.30875,78.5775,101.2549
0.16875,91.2875,101.1811
0.264,108.1825,101.1744
0.3445,263.55,101.1879
0.4285,273.675,101.2284
0.74525,238.575,101.2408
1.21975,207.5,101.2426
1.27925,233.275,101.223
1.00525,220.725,101.2701
1.32425,237.625,101.2431
1.38025,257.9,101.2768
1.53,253.175,101.2431
1.71025,254.1,101.1613
1.24275,234.1,100.9857
1.6375,222.725,100.9317
1.8925,234.2,100.951
1.52425,234.35,100.8497
1.50625,239.85,100.8296
2.05025,232.45,100.8637
2.1715,251.6,100.8094
1.977,247.05,100.7482
2.2835,236.45,100.7077
2.36025,264.825,100.5522
1.369,239.475,100.5522
0.87275,218.85,100.5522
1.2255,240.675,100.5522
1.45325,225.85,100.5522
1.969,243.4,100.5522
1.826,184.45,100.5522
1.87975,200.3,100.5522
2.1295,212.425,100.5522
2.22725,213.125,100.5522
1.72475,189.875,100.5522
1.5635,172.675,100.5522
1.0175,204.875,100.5522
1.18575,201.975,100.5522
0.849,190.875,99.5505
1.04425,197.2,99.53049
0.895,206.525,99.5252
0.94775,217.15,99.51843
0.8345,199.6,99.50671
0.70525,221.825,99.51786
0.4545,126.445,99.56518
0.5075,115.845,99.53138
0.61175,109.6,99.50434
0.53875,96.1025,99.47729
0.4275,85.18,99.42999
0.21475,67.0025,99.4302
0.24125,55.3325,99.43031
0.20825,35.655,99.42344
0.031,77.1675,99.42287
0.09875,119.8725,99.42274
0.20625,129.7,99.46471
0.4945,201.075,99.47046
0.558,174.025,99.48174
0.72475,165.8,99.49356
0.87725,190.05,99.51279
0.89825,187.2,99.52743
1.1505,179.05,99.54666
1.0475,178.175,99.56909
1.39025,191.625,99.58251
1.191,185.5,99.60954
1.0235,173.175,99.67266
1.1785,180.675,99.74548
0.7955,170.125,99.81681
0.98575,181.525,99.87764
1.0765,178.925,99.93037
0.8815,158.075,99.99062
0.95225,175.4,100.0051
1.02075,183.925,100.0446
0.79775,174.875,100.0587
0.8855,191.05,100.0519
0.779,200.075,100.0722
0.99375,197.025,100.106
1.0365,198.6,100.1871
0.899,190.425,100.2412
0.9955,201.8,100.2822
1.001,188.025,100.3291
1.0915,184.9,100.3904
1.122,165.075,100.4587
1.14575,202.4,100.5054
1.37125,175.35,100.5306
1.34575,162.525,100.5699
1.2915,191.65,100.5899
1.2555,186.125,100.6374
1.33325,192.25,100.6586
1.0445,155.925,100.736
0.99675,174.175,100.7953
0.8655,179.6,100.8783
0.78575,210.975,100.9452
0.614,203.35,100.9822
0.63375,162.725,101.0186
0.50425,165.675,101.0718
0.37525,169.225,101.0798
0.47275,202.425,101.1203
0.639,148.065,101.1268
0.26725,165.175,101.1564
0.4805,140.16,101.1738
0.51975,183.875,101.1942
0.68275,178.625,101.2414
0.86625,176.325,101.3361
1.0855,184.85,101.4175
0.975,164.075,101.4268
1.2015,182.575,101.4391
1.1365,149.15,101.4598
1.117,149.55,101.4881
1.3265,186.6,101.4916
1.23575,157.075,101.5077
1.3085,174.15,101.4925
1.3805,205.225,101.4933
0.9655,197.125,101.4834
0.6355,202.7,101.4943
0.50125,129.575,101.5262
0.76025,250.275,101.5655
0.6335,180.05,101.5605
0.707,146.875,101.6078
0.76475,180.725,101.6271
0.82075,145.525,101.6531
0.85325,109.635,101.6881
0.921,152.475,101.6879
0.86375,202.075,101.6875
0.8715,122.575,101.6877
0.9435,96.4075,101.6944
0.93475,53.3575,101.6905
0.90175,97.1175,101.7143
0.80775,127.075,101.7013
1.06725,163.65,101.6981
1.27,158.3,101.6806
1.281,174.075,101.6597
1.42225,174.725,101.6222
1.3555,191.225,101.5563
1.29775,169.7,101.5079
1.04175,175.6,101.4305
0.63125,163.825,101.38
0.86125,189.0,101.353
0.74725,198.025,101.3666
0.87225,112.285,101.3795
0.87125,81.53,101.3926
0.90725,74.755,101.4326
0.92825,58.9925,101.3861
1.1295,39.9125,101.3988
0.96575,47.925,101.4186
0.9435,39.335,101.4187
1.12075,40.6475,101.4166
1.18675,35.5675,101.4182
1.10025,36.6175,101.4022
1.04175,36.1825,101.3907
1.01575,34.5775,101.3771
0.922,40.24,101.4648
0.595,65.5125,101.5188
0.31675,141.225,101.5326
1.03025,143.575,101.5392
1.06375,172.25,101.5138
1.1515,182.85,101.4441
1.27275,153.05,101.4485
1.2895,139.95,101.4357
1.0155,137.35,101.3816
0.9785,182.55,101.3546
0.5235,173.3,101.3344
0.55725,144.7175,101.3686
0.51975,180.025,101.4143
0.44125,241.725,101.5145
0.3525,263.475,101.6364
0.4585,126.8475,101.723
0.82325,42.19,101.7558
0.68925,51.985,101.7756
