Snow_mm,Solar_Radiation
10.8475,0.0
11.255,0.0
11.36,0.0
11.495,0.0
11.585,0.0
11.9525,0.0
12.33,0.897
13.03,6.946
13.64,20.47
14.125,43.04
14.7075,53.44
15.165,67.75
15.7325,55.59
16.29,57.8
16.4925,44.18
17.095,35.32
17.26,15.91
17.7925,9.75
18.3675,0.288
19.1025,0.023
19.6225,0.0
19.88,0.0
19.88,0.0
19.98,0.0
20.05,0.0
20.05,0.0
20.05,0.0
20.0875,0.0
20.23,0.0
20.27,0.0
20.27,5.151
20.265,83.1
20.28,232.3
20.405,559.7
20.335,694.6
20.33,778.8
20.5525,806.0
20.64,770.6
20.64,675.8
20.64,263.6
20.74,69.26
20.81,24.56
20.8175,6.094
20.82,0.0
20.82,0.0
20.82,0.0
20.82,0.0
20.8375,0.0
20.9775,0.0
21.1,0.0
21.195,0.0
21.21,0.0
21.21,0.0
21.21,0.0
21.21,9.1
21.3225,91.8
21.38,216.9
21.37,502.4
21.37,568.6
21.37,698.3
21.3675,773.3
21.4,753.1
21.4025,654.3
21.37,256.4
21.5075,128.1
21.5425,71.84
21.475,12.1
21.59,0.0
21.5525,0.0
21.38,0.0
21.345,0.0
21.145,0.0
21.13,0.0
21.135,0.0
21.16,0.0
21.15,0.0
21.2325,0.0
20.9425,0.0
20.9,6.104
20.955,66.68
21.06,288.5
21.06,433.5
21.06,573.8
21.05,252.2
20.9575,295.0
20.43,213.0
20.235,158.2
20.21,70.78
20.21,87.8
20.13,18.76
20.0,3.195
20.0725,0.0
20.21,0.0
20.21,0.0
20.21,0.0
20.1925,0.0
20.16,0.0
20.1425,0.0
19.9675,0.0
19.845,0.0
19.7625,0.0
19.765,0.0
19.73,6.898
19.73,51.61
19.73,213.3
19.73,129.1
19.73,66.49
19.73,75.9
19.73,71.1
19.73,92.9
19.5875,111.8
19.52,126.6
19.525,35.84
19.525,31.32
19.5425,1.456
19.55,0.0
19.1475,0.0
19.13,0.0
19.125,0.0
19.125,0.0
19.115,0.0
19.025,0.0
