Relative_Humidity,Precipitation_mm_hr,streamflow_cfs,Soil_mm,Evapotranspiration_mm_hr
56.53,0.254,0.0187950460048981,105.1,0.0001056961444383
91.6,1.778,0.0181971124098324,105.2,1.99404252021658e-05
94.7,2.794,0.0176789032941088,105.0,5.09179366161378e-07
95.5,0.254,0.0191139439222665,105.3,7.23554901565341e-06
96.1,0.762,0.0194129107197993,105.3,3.63072283321464e-06
96.4,2.794,0.0188149771247336,104.8,6.60773482865047e-07
97.3,4.318,0.0170610385792076,104.8,1.50614832216423e-05
97.8,4.318,0.0151675821948329,105.2,0.0001076369922634
97.3,4.318,0.0155064112320368,105.2,0.000324561446042
95.8,3.302,0.0186156659263784,105.0,0.000684956613259
94.4,3.302,0.0201104999140426,104.8,0.0008749207766685
95.1,3.556,0.0205290534305886,105.1,0.001147251390588
96.5,3.81,0.0203297422322334,105.2,0.0009866446102051
92.9,2.794,0.0210074003066411,104.9,0.001043407590128
93.7,1.524,0.0209476069471346,105.0,0.0008125006149062
94.7,0.0,0.0206287090297662,104.7,0.0006763270275738
97.6,0.0,0.0203496733520689,105.4,0.0002970960287182
98.4,0.0,0.0198713264760163,105.0,0.0001824357086036
100.0,0.0,0.0196919463974966,104.9,5.19403756836029e-06
99.4,0.0,0.0198513953561808,105.0,3.17296227835481e-06
98.2,0.0,0.019552428558648,104.8,8.04271096469973e-06
92.3,0.0,0.0192135995214441,105.2,3.32064174691519e-05
94.0,0.0,0.0189544949635823,105.1,2.58891311823562e-05
93.9,0.0,0.018675459285885,104.6,2.48540262794868e-05
93.0,0.254,0.0184562169676942,104.6,2.6834436550126e-05
92.7,0.508,0.0183166991288455,104.9,2.49006648308454e-05
92.0,0.762,0.0180575945709837,104.7,2.6857937125302e-05
89.7,0.762,0.017838352252793,104.7,3.31700046300508e-05
87.3,0.762,0.0176988344139443,104.6,3.85369850256875e-05
86.8,1.016,0.0175593165750957,104.5,3.90304216750669e-05
85.1,1.016,0.0173600053767404,104.7,0.00010502396523
79.29,1.778,0.0171606941783852,104.6,0.0010681617907222
69.57,2.286,0.0171407630585497,104.6,0.0031578187090748
53.26,40.89399746,0.0169015896205234,104.6,0.0086632555942821
